id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 60388866 ,836f464a-5aba-11e8-911c-28924ad12c5c,   -1.962000 ,  -46.994000 ,2011-01-03 16:36:00,Brasil,PARÁ,GARRAFÃO DO NORTE,Amazônia
 60388865 ,836f4649-5aba-11e8-911c-28924ad12c5c,   -1.351000 ,  -47.945000 ,2011-01-03 16:36:00,Brasil,PARÁ,CASTANHAL,Amazônia
 60388864 ,836f4648-5aba-11e8-911c-28924ad12c5c,   -2.164000 ,  -46.331000 ,2011-01-03 16:36:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia
 60388863 ,836f4647-5aba-11e8-911c-28924ad12c5c,   -2.165000 ,  -46.341000 ,2011-01-03 16:36:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia
 60388862 ,836f4646-5aba-11e8-911c-28924ad12c5c,   -1.567000 ,  -47.173000 ,2011-01-03 16:36:00,Brasil,PARÁ,OURÉM,Amazônia
 60388916 ,836f467a-5aba-11e8-911c-28924ad12c5c,   -1.823000 ,  -47.170000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388915 ,836f4679-5aba-11e8-911c-28924ad12c5c,   -1.661000 ,  -47.616000 ,2011-01-03 16:36:00,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia
 60388912 ,836f4676-5aba-11e8-911c-28924ad12c5c,   -1.756000 ,  -47.417000 ,2011-01-03 16:36:00,Brasil,PARÁ,IRITUIA,Amazônia
 60388911 ,836f4675-5aba-11e8-911c-28924ad12c5c,   -1.081000 ,  -48.202000 ,2011-01-03 16:36:00,Brasil,PARÁ,SANTO ANTÔNIO DO TAUÁ,Amazônia
 60388910 ,836f4674-5aba-11e8-911c-28924ad12c5c,   -2.102000 ,  -46.551000 ,2011-01-03 16:36:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia
 60388909 ,836f4673-5aba-11e8-911c-28924ad12c5c,   -1.192000 ,  -48.047000 ,2011-01-03 16:36:00,Brasil,PARÁ,SANTO ANTÔNIO DO TAUÁ,Amazônia
 60388905 ,836f466f-5aba-11e8-911c-28924ad12c5c,   -1.780000 ,  -47.308000 ,2011-01-03 16:36:00,Brasil,PARÁ,IRITUIA,Amazônia
 60388904 ,836f466e-5aba-11e8-911c-28924ad12c5c,   -1.721000 ,  -47.097000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388901 ,836f466b-5aba-11e8-911c-28924ad12c5c,   -1.969000 ,  -46.770000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388899 ,836f4669-5aba-11e8-911c-28924ad12c5c,   -3.332000 ,  -49.983000 ,2011-01-03 16:36:00,Brasil,PARÁ,PACAJÁ,Amazônia
 60388898 ,836f4668-5aba-11e8-911c-28924ad12c5c,   -1.811000 ,  -47.089000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388881 ,836f4658-5aba-11e8-911c-28924ad12c5c,   -1.340000 ,  -46.171000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388885 ,836f465c-5aba-11e8-911c-28924ad12c5c,   -1.199000 ,  -46.869000 ,2011-01-03 16:36:00,Brasil,PARÁ,BRAGANÇA,Amazônia
 60388832 ,86981373-5aba-11e8-911c-28924ad12c5c,   -4.112000 ,  -49.921000 ,2011-01-03 16:35:00,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia
 60388950 ,87393f33-5aba-11e8-911c-28924ad12c5c,   -1.697000 ,  -47.132000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388949 ,87393f32-5aba-11e8-911c-28924ad12c5c,   -1.391000 ,  -46.204000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388948 ,87393f31-5aba-11e8-911c-28924ad12c5c,   -1.675000 ,  -46.840000 ,2011-01-03 16:36:00,Brasil,PARÁ,SANTA LUZIA DO PARÁ,Amazônia
 60401621 ,5af45ce0-5abb-11e8-911c-28924ad12c5c,   -1.794000 ,  -56.228000 ,2011-01-04 17:19:00,Brasil,PARÁ,ORIXIMINÁ,Amazônia
 60401609 ,86981390-5aba-11e8-911c-28924ad12c5c,   -2.247000 ,  -55.208000 ,2011-01-04 17:19:00,Brasil,PARÁ,SANTARÉM,Amazônia
 60401608 ,8698138f-5aba-11e8-911c-28924ad12c5c,   -2.224000 ,  -56.071000 ,2011-01-04 17:19:00,Brasil,PARÁ,JURUTI,Amazônia
 60401629 ,8698139f-5aba-11e8-911c-28924ad12c5c,   -1.001000 ,  -53.123000 ,2011-01-04 17:19:00,Brasil,PARÁ,ALMEIRIM,Amazônia
 60401628 ,8698139e-5aba-11e8-911c-28924ad12c5c,   -2.202000 ,  -48.740000 ,2011-01-04 17:19:00,Brasil,PARÁ,MOJU,Amazônia
 60401627 ,8698139d-5aba-11e8-911c-28924ad12c5c,   -3.297000 ,  -56.573000 ,2011-01-04 17:19:00,Brasil,PARÁ,JURUTI,Amazônia
 60401625 ,8698139b-5aba-11e8-911c-28924ad12c5c,   -2.871000 ,  -52.488000 ,2011-01-04 17:19:00,Brasil,PARÁ,BRASIL NOVO,Amazônia
 60401624 ,8698139a-5aba-11e8-911c-28924ad12c5c,   -1.527000 ,  -54.623000 ,2011-01-04 17:19:00,Brasil,PARÁ,ALENQUER,Amazônia
 60401623 ,86981399-5aba-11e8-911c-28924ad12c5c,   -1.916000 ,  -56.369000 ,2011-01-04 17:19:00,Brasil,PARÁ,TERRA SANTA,Amazônia
 60401617 ,86981398-5aba-11e8-911c-28924ad12c5c,   -1.667000 ,  -55.016000 ,2011-01-04 17:19:00,Brasil,PARÁ,ALENQUER,Amazônia
 60401616 ,86981397-5aba-11e8-911c-28924ad12c5c,   -2.265000 ,  -54.439000 ,2011-01-04 17:19:00,Brasil,PARÁ,SANTARÉM,Amazônia
 60401615 ,86981396-5aba-11e8-911c-28924ad12c5c,   -2.256000 ,  -55.915000 ,2011-01-04 17:19:00,Brasil,PARÁ,JURUTI,Amazônia
 60401614 ,86981395-5aba-11e8-911c-28924ad12c5c,   -1.522000 ,  -54.652000 ,2011-01-04 17:19:00,Brasil,PARÁ,ALENQUER,Amazônia
 60401612 ,86981393-5aba-11e8-911c-28924ad12c5c,   -1.643000 ,  -55.045000 ,2011-01-04 17:19:00,Brasil,PARÁ,ALENQUER,Amazônia
 60415449 ,836f46c6-5aba-11e8-911c-28924ad12c5c,   -2.144000 ,  -47.966000 ,2011-01-05 16:24:00,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia
 60415448 ,836f46c5-5aba-11e8-911c-28924ad12c5c,   -2.144000 ,  -47.961000 ,2011-01-05 16:24:00,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia
